truku	zh	en	fr	headword
Ptblayun mu ka phdagan anay mu.	我要把我姻親兄弟的曬場整平。	I want to level my brother-in-law's (drying) yard.	Je veux aplanir l'aire (de séchage) de mon beau frère.	BALAE
Paru bi pntblayan dha mkyayung.	他們在溪床上（沿著溪流）開出了一大片平地。	They have made a big flat expanse in the bed of the torrent (along the torrent).	Ils ont créé une grande plaine dans le lit du torrent (le long du torrent).	BALAE
Muda baraw ka lulung.	雲從上方飄過（從頭頂掠過）。	The clouds pass overhead (pass over).	Les nuages passent en haut (passent par dessus).	BALAO
Tama baraw.	在上的父=天主聖父。	The Father on high = God the Father.	Le Père d'en haut = Dieu le Père.	BALAO
Niqan kari paah baraw.	有來自上面的命令。	There are orders come from on high.	Il y a des ordres venus d'en haut.	BALAO
Ma su paah baraw!	喂！你的態度也太高傲了吧！	I say! You are really getting high and mighty!	Dis donc ! Mais tu le prends de haut !	BALAO
Ana nbaraw ana nbabaw dxgal.	無論是在上（天上）的，還是在地上的。	Whether it be what is above (in heaven) or what is on the earth.	Que ce soit ce qui est en haut (au ciel) ou ce qui est sur terre.	BALAO
Ya bi qhuni manu ka bbaraw balay?	1)那棵很高的樹究竟是什麼樹？2)最高的樹究竟是哪一棵？	1) What can that very tall tree be? 2) Which can be the tallest of the trees?	1) que peut bien être l'arbre qui est très haut ? 2) Quel peut bien être le plus grand des arbres ?	BALAO
Ini kbaraw ka pusu kliyut.	桑樹不高。	The mulberry tree is not tall.	Le mûrier n'est pas haut.	BALAO
Tayal knbaraw ka sntrilan su!	哇！你跳得好高！	My word! How high you jumped!	Oh la ! Comme tu as sauté haut !	BALAO
Klaun su ka knbragan knuruh sapah su hu?	你知道你家屋脊的高度（長度）嗎？	Do you know the height (the length) of the ridge of your house?	Sais tu la hauteur (la longueur) du faîte de ta maison ?	BALAO
Hbaraw bi seejiq ka muda pnbaraw nanak qmpah.	只把田地耕得很淺的人很多。	Many are those who till their land only superficially.	Ils sont nombreux ceux qui ne travaillent que superficiellement leur terre.	BALAO
Malu bi kana ka trabus mu, wana snbaraw (smbaraw) ka naqih.	我的花生全都很好，只有最上面那些是壞的！	My peanuts are all of good quality; only the ones on top are bad!	Elles sont toutes de bonne qualité, mes arachides, il n'y a que celles par dessus qui sont mauvaises !	BALAO
Lukus snbaraw.	外衣。	Outer garments.	Les habits de dessus.	BALAO
Baraq na ka mnarux.	是他的肺生病了！	It is his lung that is diseased!	C'est son poumon qui est malade !	BALAQ
Baraq na ka sknarux hyaan.	是他的肺讓他疼痛。	It is his lung that is hurting him.	C'est son poumon qui lui fait mal.	BALAQ
Tama baraq.	心臟（肺之父）。	The heart (the father of the lungs).	Le coeur (le père des poumons).	BALAQ
Laqi embarah.	新生代。	The new generation.	La nouvelle génération.	BALAX
Ini hari prui gaya ka lqlaqi embarah.	現在的年輕人幾乎不再遵守傳統習俗了。	The young people of today hardly observe the customs any more.	Les jeunes de maintenant n'observent plus guère les coutumes.	BALAX
Miyah ku embarah alang namu.	我初來乍到你們的村子。	I come to your village as a complete newcomer.	Je viens tout nouveau chez vous.	BALAX
Mnbarah ku sida ska sapah ptasan namu.	那時我在你們學校還是個新人。	I was quite new then in your school.	J'étais alors tout nouveau dans votre école.	BALAX
Tmbarah ku hini sayang.	我今天在此落腳（在這裡重新開始）。	I am settling here (making myself quite new here) today.	Je m'installe ici (Je me fais tout récent ici) aujourd'hui.	BALAX
Tnpusu ka yaku, tnbarah ka isu.	我是本地人，而（頁末中斷）	I am a native of this place, and (text cut off at page end)	Je suis du pays et.	BALAX
Kiya ka tnbrahan na laqi.	這是她的長子（？）（或：這是她的新生兒？或：這是她親生的孩子？？）	There is her eldest child (?) (var.: There is her newborn? Var.: There is the child born of her??)	Voilà son ainé (?)(vl. Voilà son nouveau né ? Vl. Voilà l'enfant né d'elle ??)	BALAX
Hana bnrahan na sndhgan sida.	正當他剛達成協議之時。	Just at the moment when he had made the agreement.	Juste au moment où il venait de faire l'accord.	BALAX
Bnrahan sndhgan.	新約（聖經）。	New Testament (Bible).	Nouveau testament (Bible).	BALAX
Aji manu ka ini srwaani ptbarah.	這就是他不願被迫搬家的原因。	And this is why he did not want to have to change his residence.	Et voici pourquoi il ne voulait pas devoir changer de domicile.	BALAX
Mnusa ku marig cimu ni usik ni ayang.	我去買了鹽、辣椒和煤油。	I went to buy salt, chili peppers and kerosene.	Je suis allé acheter du sel des piments et du pétrole.	BALI
Ma ini su brigi ka trabus su?	你為什麼還沒賣掉你的花生？	Why have you not sold your peanuts?	Pourquoi n'as tu pas vendu tes arachides ?	BALI
Mkray bi brigan.	它們現在賣得（買得）非常貴！	They are selling (being bought) at a very high price at the moment!	Elles se vendent (s'achètent) très cher en ce moment !	BALI
Mnda alang ka mbarig qabang.	賣毯子的小販經過了村子。	The blanket seller passed through the village.	Le vendeur de couvertures est passé par le village.	BALI
Mbarig hiyi.	妓女，即出賣肉體者。	Prostitute = one who sells her body.	Prostituée = qui vend son corps.	BALI
Brigun mu ka sqmu; kmbarig su hu? … Aji! Saan mu marig sapah brigan.	我要賣我的玉米；你要買嗎？……不！我要去店裡買。	I want to sell my maize; do you want to buy it? … No! I will go and buy it at the shop.	Je veux vendre mon maïs ; Tu veux l'acheter ? … Non ! J'irai l'acheter au magasin.	BALI
Malu bi brigan sqmu ka sayang!	現在正是賣玉米的好時機。	Right now the time is favorable for selling maize.	En ce moment le temps est favorable pour la vente du maïs.	BALI
Nangal su inu ka patas su? = Narig mu alang paru.	你的書是從哪裡拿來的？……我在城裡買的。	Where did you get your book? … I bought it in town.	Où as tu pris ton livre ? … Je l'ai acheté en ville.	BALI
Balung rudux.	雞蛋。	Hen's egg.	Oeuf de poule.	BALONG
Balung quyu.	蛇蛋。	Snake's egg.	Oeuf de serpent.	BALONG
Balung qsurux.	魚卵。	Fish egg.	Oeuf de poisson.	BALONG
Balung quhing.	蝨卵。	Louse egg (nit)	Oeuf de pou.	BALONG
Rudux mu o, tmbalung ka duma ni ini ka duma; duma o, knteetu kmlawa; tai ka ruru mu o, msiyang nanak.	我的雞，有的下蛋，有的不下；還有的只會孵蛋；至於我的鴨子，牠只顧長肥！	As for my hens, some lay and others do not; still others do nothing but brood; as for my duck, it just keeps growing fat!	Mes poules, il y en a qui pondent et d'autres pas ; d'autres encore ne font que couver ; quant à ma canne, elle s'engraisse !	BALONG
Kasi banasi.	彼此閒聊講故事、談些無關緊要的事、閒扯。	The act of telling each other stories, of talking about nothing, of chattering.	Le fait de se raconter des histoires, de parler de rien, de papoter.	BANASI
Embanah ka kana lukus su.	你所有的衣服都是紅色的。	All your clothes are red.	Tous tes habits sont rouges.	BANAX
Embanah kana ka lukus su.	你的衣服整件都是紅的。	Your garment is all red.	Ton habit est tout rouge.	BANAX
Embanah tunux.	紅頭（指美國人及所有非亞洲人）。	Red head (= the Americans and all non-Asians).	Tête rouge (= Les américains et tous les non asiatiques.	BANAX
Ini kbanah ka tunux mu.	我的頭髮不是紅色的。	My hair is not red.	Je n'ai pas les cheveux rouges.	BANAX
Aji biyaw mabanah kana rhluk.	不久所有的越橘果都會變紅。	Before long all the bilberries will be red.	Avant peu toutes les airelles seront rouges.	BANAX
Mskluwi ku mita knbanah dowriq su.	我很驚訝看到你的眼睛這麼紅。	I am surprised to see how red your eyes are.	Je suis surpris de voir comme tes yeux sont rouges.	BANAX
Pkbanahi cicih pdahung quwaq su!	在你的嘴唇上抹點紅吧！	Put a little red on your lips!	Mets un peu de rouge sur tes lèvres !	BANAX
Msuqi bi ka knbnahan ubal sneunux niya.	她頭髮的紅色太過誇張了。	The redness of her hair is far too extreme.	La rougeur de ses cheveux est trop exagérée.	BANAX
Asi tbanah kana dqras niya.	（頓時）他整張臉變成紫紅色。	(At once) his whole face turns crimson.	(Aussitôt) tout son visage devient de pourpre.	BANAX
Hmut ku mtbanah ka yaku.	我呀，一點小事就會臉紅！	As for me, I blush at the slightest thing!	Moi, pour un rien je rougis !	BANAX
Ptbnahani cicih dqras laqi su.	想個辦法讓你孩子的臉上添點血色（變紅潤）吧！	Find a way to put a little color on your child's face (make it rosy)!	Trouve le moyen pour mettre un peu de couleur (faire rougir) sur le visage de ton enfant !	BANAX
Bsiyaq bi snbuyas ka laqi mu ni malu da! emu bangah ka snkmalu hyaan.	我兒子拉肚子拉了很久，現在痊癒了！是木炭粉治好了他。	For a long time my son suffered from diarrhea, and now he is cured! It is the charcoal powder that cured him.	Pendant longtemps mon fils a souffert de diarrhée et il est guéri ! C'est la poudre de charbon qui l'a guéri.	BANGAX
Emu basaw.	BASAO 之粉。	BASAO flour.	Farine de BASAO.	BASAO
Ana embasi ka tlahi nii o, ida mu uqun.	這個柚子雖然酸，我還是會吃。	Even though this pomelo is sour, I will eat it all the same.	Bien que ce pamplemousse soit acide je le mangerai quand même.	BASI
Ma saw bi embasi ka niqan ta hini!	我們這地方多麼淒涼（彷彿在服喪一樣）！	How gloomy it is (as if we were in mourning) here where we are!	Comme c'est morne (comme si on était en deuil) où nous sommes ici !	BASI
Ya sa tbasi bi ka dtlahi.	因為柚子（天生）就是酸的。	Seeing that pomelos are (naturally) sour.	Vu que les pamplemousses sont (naturellement) acides.	BASI
Manu ka yahan su ptbasi nanak pnrhulan ta?	你是怎麼了，來這裡只為了讓我們的聚會蒙上陰影？	What has come over you, that you come only to cast gloom over our gathering?	Qu'est ce qui te prend de ne venir que pour assombrir notre réunion ?	BASI
Bawa silung.	海綿。	Sponge.	Eponge.	BAWA
Embawa bi ka tleengan su, ini hari kbawa ka nnaku.	你的座椅很軟（有彈性、柔軟），我的就不怎麼樣！	Your seat is very soft (springy, supple); mine, not so much!	Ton siège est très doux (élastique, souple), le mien, pas beaucoup !	BAWA
Bgihur ka skbawa kana silung (gsilung)	是風使整片海起了泡沫。	It is the wind that makes the whole sea foam.	C'est le vent qui fait mousser toute la mer.	BAWA
Aji su bi empqneuqu nasi su embahang lntadan quwaq mu.	你若聽見我的聲音，就不會弄錯。	You will not be able to go wrong if you hear my voice.	Tu ne pourras pas te tromper si tu entends ma voix.	BAXANG
Ana mqpuhir ka birat mu o, embahang ku bi ka luulan huling.	儘管我耳背，狗叫聲我還是聽得很清楚。	Hard of hearing though I am, I can hear the barking dogs quite well.	J'ai beau être dur d'oreille, j'entends bien les chiens qui aboyent.	BAXANG
Ini su qbahang ka isu.	你呀，你聽不見！	You, you do not hear!	Toi tu n'entends pas !	BAXANG
Kingal msapuh alang paru ka pnqbahang knan.	是城裡的一位醫生讓我恢復了聽力。	It was a doctor from the town who gave me back the faculty of hearing.	C'est un médecin de la ville qui m'a redonné la faculté d'entendre.	BAXANG
Miyah ku pqbahang sunan ana manu ka bnhangan mu kari.	我來把我所聽到的一切告訴你。	I come to inform you of everything I have heard said.	Je viens te faire part de tout ce que j'ai entendu dire.	BAXANG
Malu bi bhangan ka bnhangan mu uyas.	我聽到的歌謠十分悅耳。	The songs I heard are melodious.	Ils sont mélodieux les chants que j'ai entendus.	BAXANG
Ana mu si rngagi o, ungat ka mqbahang.	任憑我怎麼說，也沒有人聽。	However much I might speak (I speak), there is no one to listen.	J'aurais (j'ai) beau parler, il n'y a personne pour écouter.	BAXANG
Mrrawa kana ka lqlaqi matas; sai bi pqbahang cicih!	學童們全都在吵鬧；快去讓他們安靜聽講吧！	All the schoolchildren are making a racket; go and make them listen a little!	Tous les écoliers font du chahut ; va donc un peu les faire écouter !	BAXANG
Tayal bi bahing su!	你多麼懶惰啊！	What laziness you have!	Quelle paresse tu tiens !	BAXENG
Pusu bi embahing ka isu.	你是個十足的懶漢。	You are an arrant lazybones.	Tu es un fieffé paresseux.	BAXENG
Ini kbahing ka kuyuh su.	你的妻子並不懶惰。	Your wife is not lazy.	Ta femme ne paresse pas.	BAXENG
Embahing su bi paah snduray.	近來你變得很懶。	For a little while now you have been very lazy.	Depuis peu tu es très paresseux.	BAXENG
Ya iyax pkbahing laqi mu!	別來耽誤我兒子的時間！	Don't come making my son waste his time!	Ne viens pas faire perdre son temps à mon fils !	BAXENG
Nbhgay o, wada mruciq kana ka lklukus su.	你的衣服原本潔白（乾淨），如今全都髒了！	From white (clean) as they were, now your clothes are all dirty!	De blancs (propres) qu'ils étaient voilà tes habits tout sales !	BAXGAI
Smeura ku mita knbhgay pala su!	看到你的裙子這麼白，真令我羨慕。	It makes me envious to see how white your skirt is.	Celà me fait envie en voyant comme ta jupe est blanche.	BAXGAI
Kingal nanak ka knbhgayan pala niya.	她裙子的潔白非比尋常。	The whiteness of her skirt is quite exceptional.	Elle est toute spéciale la blancheur de sa jupe.	BAXGAI
Paru bi ka ndaan su qneuqu! Tutuy da ni nduwa bi pbhgay hangan su da!	你犯了大錯；起來洗白你的名聲吧！	You have committed a grave fault; get up and clear (whiten) your name!	Tu as commis une grosse faute ; lève toi et blanchis ton nom !	BAXGAI
Bhui lukus su nanak.	只洗你自己的衣服！	Wash only your own clothes!	Lave seulement tes habits !	BAXO
Kingal iyax sngayan o, mdha ku mahu lukus.	我一星期洗兩次衣服。	I wash my clothes twice a week.	Je lave mes habits deux fois par semaine.	BAXO
Manu ka qpahun su? … Embahu ku lukus.	你的工作是什麼？……我洗衣服。	What is your work? … I wash clothes.	Quel est ton travail ? … Je lave les habits.	BAXO
Bhuun kana ka nbabaw shakaw(?) su.	你床上放的全是待洗的衣物（床，或：房間裡加高、用來當床的部分）。	What is on your bed is all laundry to be washed (bed, or: the raised part of a room that serves as a bed).	C'est tout du linge à laver celui qui se trouve sur ton lit (lit, ou : partie surélevée d'une pièce et qui sert de lit).	BAXO
Bhuun mu lukus ka saman.	明天就是我該洗衣服的時候。	Tomorrow is when I must wash the clothes.	Demain c'est le moment où je dois laver les habits.	BAXO
